timestamp,hobbs_start,hobbs_end,tach_start,tach_end,route,duration,oil_pressure_min,oil_pressure_max,oil_temp_max,cht_max,egt_max,fuel_used_gal,cycles,pilot_notes,tail,flight_index
2024-08-28 21:49:44,5268.0,5270.1,4846.6,4848.6,KPHX-local,2.13,65.5,73.8,177.3,366.1,1323.4,12.55,1,,N1156P,0
2024-09-02 08:00:55,5270.1,5273.6,4848.5,4851.7,KPHX-local,3.51,56.4,77.9,196.7,343.7,1354.5,17.77,1,,N1156P,1
2024-09-05 08:19:30,5273.6,5275.5,4851.7,4853.4,KPHX-local,1.89,62.1,76.6,177.7,398.3,1340.3,14.63,1,,N1156P,2
2024-09-05 18:56:55,5275.5,5276.3,4853.5,4854.3,KPHX-KSDL,0.84,68.5,77.8,211.5,340.0,1262.3,4.01,1,,N1156P,3
2024-09-08 05:26:12,5276.3,5279.2,4854.2,4856.9,KPHX-local,2.89,72.2,72.4,198.0,372.1,1363.7,16.72,1,,N1156P,4
2024-09-17 14:51:47,5279.2,5281.4,4856.9,4858.9,KPHX-KPRC,2.22,72.0,75.6,203.0,397.6,1280.9,10.45,1,,N1156P,5
2024-09-27 01:38:10,5281.4,5285.2,4858.9,4862.4,KPHX-local,3.83,57.0,78.1,214.8,388.7,1364.0,17.58,1,,N1156P,6
2024-09-28 02:53:24,5285.2,5286.3,4862.4,4863.4,KPHX-KSDL,1.07,63.8,85.0,194.2,385.8,1326.6,5.11,1,,N1156P,7
2024-10-03 04:30:30,5286.3,5288.9,4863.4,4865.8,KPHX-local,2.64,64.2,66.6,178.8,348.0,1383.1,17.93,1,"Oil temp a little warm today, ambient hot.",N1156P,8
2024-10-11 13:44:38,5288.9,5290.0,4865.8,4866.8,KPHX-KSDL,1.07,56.7,82.2,184.1,373.6,1291.9,6.87,1,,N1156P,9
2024-10-20 13:59:50,5290.0,5292.5,4866.8,4869.1,KPHX-KPRC,2.54,70.0,70.6,190.2,396.4,1416.1,13.66,1,"CHT running 396°F at cruise, leaned as per POH.",N1156P,10
