timestamp,hobbs_start,hobbs_end,tach_start,tach_end,route,duration,oil_pressure_min,oil_pressure_max,oil_temp_max,cht_max,egt_max,fuel_used_gal,cycles,pilot_notes,tail,flight_index
2025-06-18 19:39:05,5090.0,5092.6,4682.8,4685.2,KPHX-KFLG,2.56,71.6,79.9,182.0,398.2,1278.9,21.44,1,,N2251K,0
2025-06-21 12:54:13,5092.6,5095.3,4685.2,4687.6,KPHX-local,2.66,57.4,65.1,203.6,361.4,1303.5,15.85,1,Crosswind practice.,N2251K,1
2025-06-25 00:32:28,5095.3,5096.5,4687.7,4688.8,KPHX-local,1.17,65.4,71.2,188.3,385.8,1387.8,6.88,1,,N2251K,2
2025-06-29 00:14:08,5096.5,5097.1,4688.8,4689.4,KPHX-KSDL,0.61,70.1,83.1,201.2,388.8,1268.8,3.86,1,,N2251K,3
2025-07-03 21:34:42,5097.1,5098.7,4689.3,4690.7,KPHX-local,1.55,58.6,74.4,209.6,368.1,1322.5,12.37,1,,N2251K,4
2025-07-07 04:11:12,5098.7,5100.6,4690.8,4692.5,KPHX-local,1.86,64.5,69.4,176.8,373.3,1315.7,15.05,1,,N2251K,5
2025-07-10 01:52:27,5100.6,5101.9,4692.6,4693.8,KPHX-local,1.27,66.8,72.8,197.3,380.4,1296.6,10.13,1,,N2251K,6
2025-07-10 08:57:36,5101.9,5103.9,4693.7,4695.5,KPHX-local,2.0,67.3,78.8,196.9,387.3,1375.5,12.94,1,,N2251K,7
2025-07-10 18:16:36,5103.9,5105.2,4695.6,4696.8,KPHX-local,1.26,60.7,73.9,192.9,355.5,1315.6,9.62,1,,N2251K,8
2025-07-14 19:52:26,5105.2,5106.6,4696.8,4698.1,KPHX-local,1.39,61.6,78.6,197.3,381.8,1264.3,10.57,1,,N2251K,9
2025-07-20 22:31:35,5106.6,5107.7,4698.1,4699.1,KPHX-KSDL,1.1,72.5,84.5,196.0,398.2,1366.9,7.95,1,"Pattern work, 6 T&Gs.",N2251K,10
2025-07-26 15:59:28,5107.7,5108.4,4699.1,4699.7,KPHX-KSDL,0.67,64.7,65.3,178.5,371.7,1308.9,4.21,1,,N2251K,11
2025-08-08 18:22:55,5108.4,5109.1,4699.7,4700.4,KPHX-KSDL,0.71,58.0,74.3,201.8,355.6,1378.9,5.63,1,,N2251K,12
2025-08-25 05:00:42,5109.1,5111.2,4700.4,4702.3,KPHX-local,2.05,58.0,71.5,196.8,367.8,1260.8,13.36,1,,N2251K,13
2025-09-16 08:26:02,5111.2,5113.5,4702.3,4704.4,KPHX-local,2.27,58.0,78.4,182.7,387.0,1357.9,17.6,1,,N2251K,14
2025-09-23 11:04:41,5113.5,5115.0,4704.4,4705.8,KPHX-local,1.52,74.7,77.2,195.8,370.2,1327.2,7.13,1,,N2251K,15
2025-10-10 13:33:54,5115.0,5115.7,4705.8,4706.4,KPHX-KSDL,0.7,69.4,70.7,209.3,383.8,1314.9,5.41,1,,N2251K,16
2025-10-16 16:54:32,5115.7,5117.3,4706.4,4707.9,KPHX-local,1.6,57.4,72.3,205.7,354.6,1407.8,12.81,1,,N2251K,17
2025-10-19 19:04:06,5117.3,5119.0,4707.9,4709.5,KPHX-KPRC,1.74,67.9,83.1,179.3,383.2,1260.8,14.01,1,,N2251K,18
2025-11-02 21:15:43,5119.0,5120.7,4709.5,4711.1,KPHX-local,1.71,72.4,76.0,181.2,350.7,1393.1,9.82,1,,N2251K,19
